"index","bottlecode","wvl","abs"
814,"1190-16",412,0.0527
815,"1190-16",413,0.0529
816,"1190-16",414,0.0521
817,"1190-16",415,0.0521
818,"1190-16",416,0.0523
819,"1190-16",417,0.0521
820,"1190-16",418,0.052
821,"1190-16",419,0.0518
822,"1190-16",420,0.0516
823,"1190-16",421,0.0514
824,"1190-16",422,0.0513
825,"1190-16",423,0.051
826,"1190-16",424,0.0508
827,"1190-16",425,0.0506
828,"1190-16",426,0.0503
829,"1190-16",427,0.0502
830,"1190-16",428,0.0498
831,"1190-16",429,0.0496
832,"1190-16",430,0.0495
833,"1190-16",431,0.0494
834,"1190-16",432,0.0493
835,"1190-16",433,0.049
836,"1190-16",434,0.0488
837,"1190-16",435,0.0488
838,"1190-16",436,0.0486
839,"1190-16",437,0.0485
840,"1190-16",438,0.0484
841,"1190-16",439,0.0483
842,"1190-16",440,0.0482
843,"1190-16",441,0.0481
844,"1190-16",442,0.0479
845,"1190-16",443,0.0477
846,"1190-16",444,0.0476
847,"1190-16",445,0.0474
848,"1190-16",446,0.0472
849,"1190-16",447,0.0471
850,"1190-16",448,0.0469
851,"1190-16",449,0.0467
852,"1190-16",450,0.0465
853,"1190-16",451,0.0464
854,"1190-16",452,0.0461
855,"1190-16",453,0.0458
856,"1190-16",454,0.0456
857,"1190-16",455,0.0454
858,"1190-16",456,0.0453
859,"1190-16",457,0.0452
860,"1190-16",458,0.0452
861,"1190-16",459,0.0452
862,"1190-16",460,0.0453
863,"1190-16",461,0.0455
864,"1190-16",462,0.0455
865,"1190-16",463,0.0456
866,"1190-16",464,0.0457
867,"1190-16",465,0.0457
868,"1190-16",466,0.0456
869,"1190-16",467,0.0456
870,"1190-16",468,0.0455
871,"1190-16",469,0.0454
872,"1190-16",470,0.0452
873,"1190-16",471,0.0451
874,"1190-16",472,0.0449
875,"1190-16",473,0.0447
876,"1190-16",474,0.0445
877,"1190-16",475,0.0444
878,"1190-16",476,0.0442
879,"1190-16",477,0.044
880,"1190-16",478,0.0438
881,"1190-16",479,0.0436
882,"1190-16",480,0.0433
883,"1190-16",481,0.0431
884,"1190-16",482,0.0429
885,"1190-16",483,0.0428
886,"1190-16",484,0.0426
887,"1190-16",485,0.0424
888,"1190-16",486,0.0421
889,"1190-16",487,0.0418
890,"1190-16",488,0.0416
891,"1190-16",489,0.0414
892,"1190-16",490,0.0412
893,"1190-16",491,0.0411
894,"1190-16",492,0.0409
895,"1190-16",493,0.0407
896,"1190-16",494,0.0404
897,"1190-16",495,0.0402
898,"1190-16",496,0.04
899,"1190-16",497,0.0398
900,"1190-16",498,0.0396
901,"1190-16",499,0.0394
902,"1190-16",500,0.0393
903,"1190-16",501,0.0391
904,"1190-16",502,0.0389
905,"1190-16",503,0.0388
906,"1190-16",504,0.0386
907,"1190-16",505,0.0385
908,"1190-16",506,0.0383
909,"1190-16",507,0.0382
910,"1190-16",508,0.0379
911,"1190-16",509,0.0377
912,"1190-16",510,0.0375
